rgn_id,habitat,trend,year
1,coral,0.068115158,2021
2,coral,0.068115158,2021
5,coral,-0.07864288,2021
6,coral,0.00631266,2021
7,coral,0.20818006,2021
8,coral,-0.044519345,2021
9,coral,-0.025286787,2021
10,coral,-0.029746745,2021
11,coral,-0.029746745,2021
12,coral,-0.029746745,2021
13,coral,-0.024590423,2021
14,coral,-0.01397441,2021
15,coral,0.008116431,2021
16,coral,-0.019027837,2021
17,coral,-0.158933369,2021
18,coral,0.05464683,2021
19,coral,0.055054945,2021
24,coral,-0.212525,2021
25,coral,0.163908,2022
25,coral,0.168194,2021
26,coral,0.17847298,2021
28,coral,0.063523839,2021
29,coral,0.092311709,2021
30,coral,0.092311709,2021
31,coral,-0.163570314,2021
32,coral,0.092311709,2021
33,coral,0.092311709,2021
34,coral,0.092311709,2021
35,coral,0.092311709,2021
36,coral,0.092311709,2021
37,coral,-0.014661343,2021
38,coral,0.346149095,2021
39,coral,0.025724306,2021
40,coral,0.83425,2021
41,coral,-0.19694709,2021
42,coral,0.357142857,2021
43,coral,-0.023581479,2021
44,coral,0.063523839,2021
45,coral,0.063523839,2021
46,coral,0.063523839,2021
47,coral,0.328166667,2021
48,coral,-0.077670278,2021
49,coral,-0.000941043,2021
50,coral,-0.077670278,2021
51,coral,-0.077670278,2021
52,coral,-0.32094,2021
54,coral,-0.077670278,2021
79,coral,-0.077670278,2021
102,coral,0.222089286,2021
107,coral,0.005893137,2021
108,coral,-0.031592221,2021
110,coral,-0.029359872,2021
111,coral,-0.031592221,2021
112,coral,0.082631021,2021
113,coral,-0.031592221,2021
114,coral,-0.013471635,2021
115,coral,0.026658055,2021
116,coral,-0.020542386,2021
117,coral,-0.031592221,2021
118,coral,-0.031592221,2021
119,coral,-0.013471635,2021
120,coral,-0.2185,2021
121,coral,-0.031592221,2021
122,coral,-0.044120226,2021
123,coral,-0.265625,2021
124,coral,0.041766688,2021
125,coral,-0.013471635,2021
126,coral,0.095335714,2021
127,coral,-0.046816196,2021
129,coral,0.046619457,2021
130,coral,0.029040499,2021
131,coral,0.001860161,2021
132,coral,-0.009351858,2021
133,coral,0.056464408,2021
135,coral,0.030750411,2021
136,coral,0.005893137,2021
137,coral,0.008703411,2021
139,coral,-0.035224093,2021
140,coral,0.036814286,2021
146,coral,-0.144426138,2021
147,coral,0.007364912,2021
148,coral,-0.029746745,2021
149,coral,-0.029746745,2021
150,coral,-0.029746745,2021
151,coral,-0.024590423,2021
152,coral,0.079396552,2021
153,coral,-0.426666667,2021
154,coral,-0.426666667,2021
155,coral,-0.144426138,2021
156,coral,-0.426666667,2021
157,coral,-0.029746745,2021
158,coral,-0.024590423,2021
159,coral,-0.029746745,2021
161,coral,0.007364912,2021
163,coral,-0.026595953,2021
164,coral,-0.12937611,2021
166,coral,-0.039224794,2021
171,coral,0.070686185,2021
190,coral,-0.077670278,2021
191,coral,0.346149095,2021
202,coral,0.221245316,2021
203,coral,0.17847298,2021
204,coral,0.346149095,2021
205,coral,0.032734722,2021
206,coral,0.027755399,2021
207,coral,-0.011148288,2021
208,coral,-0.001903846,2021
209,coral,-0.02115657,2021
210,coral,0.018285424,2021
212,coral,-0.029746745,2021
214,coral,-0.000941043,2021
215,coral,-0.2402375,2021
216,coral,0.014838923,2021
220,coral,0.032821814,2021
221,coral,0.036814286,2021
231,coral,0.007755791,2021
237,coral,0.007755791,2021
244,coral,0.032821814,2021
245,coral,0.032821814,2021
247,coral,0.027755399,2021
248,coral,0.032821814,2021
249,coral,0.032821814,2021
250,coral,0.032821814,2021
