"region_id","stock_id","taxon_key","year","catch","score","gapfilled","method"
25,"Amusium_pleuronectes-57",6984376,2022,22.02,0.847229129970588,1,"Mean gapfilled"
25,"Anadara-57",590124,2022,414.37,0.762506216973529,1,"Mean gapfilled"
25,"Anadara-71",590124,2022,0.58,0.762506216973529,1,"Mean gapfilled"
25,"Auxis_rochei-57",600093,2022,5738,0.847229129970588,1,"Mean gapfilled"
25,"Auxis_rochei-71",600093,2022,442,0.847229129970588,1,"Mean gapfilled"
25,"Auxis_thazard-57",600094,2022,56,1,0,NA
25,"Auxis_thazard-71",600094,2022,6.3,1,0,NA
25,"Bivalvia-57",290004,2022,174.88,0.211807282492647,1,"Mean gapfilled"
25,"Brachyura-57",490097,2022,2394.05,0.677783303976471,1,"Mean gapfilled"
25,"Brachyura-71",490097,2022,52489.88,0.677783303976471,1,"Mean gapfilled"
25,"Chiloscyllium_punctatum-57",605903,2022,203.37,0.847229129970588,1,"Mean gapfilled"
25,"Chiloscyllium_punctatum-71",605903,2022,237,0.847229129970588,1,"Mean gapfilled"
25,"Chirocentrus_dorab-57",606358,2022,1508.5,0.471401482,0,NA
25,"Chirocentrus_dorab-71",606358,2022,3520.86,0.465707506,0,NA
25,"Congresox_talabon-57",611701,2022,295.84,0.847229129970588,1,"Mean gapfilled"
25,"Congresox_talabon-71",611701,2022,1492.65,0.847229129970588,1,"Mean gapfilled"
25,"Crassostrea-57",590014,2022,85.09,0.762506216973529,1,"Mean gapfilled"
25,"Cynoglossus_cynoglossus-57",605456,2022,614.98,0.847229129970588,1,"Mean gapfilled"
25,"Cynoglossus_cynoglossus-71",605456,2022,40231.62,0.847229129970588,1,"Mean gapfilled"
25,"Dasyatis-57",500646,2022,897.28,0.762506216973529,1,"Mean gapfilled"
25,"Dasyatis-71",500646,2022,1125.33,0.762506216973529,1,"Mean gapfilled"
25,"Decapterus-57",502102,2022,25997.8,0.762506216973529,1,"Mean gapfilled"
25,"Decapterus-71",502102,2022,17252.78,0.762506216973529,1,"Mean gapfilled"
