rgn_id,habitat,year,trend
1,seagrass,2021,-0.039300761
2,seagrass,2021,-0.039300761
5,seagrass,2021,-0.08898821
6,seagrass,2021,-0.054010918
7,seagrass,2021,-0.07309818
8,seagrass,2021,-0.087631755
9,seagrass,2021,-0.080415656
11,seagrass,2021,0
13,seagrass,2021,-0.203749249
14,seagrass,2021,-0.015798801
15,seagrass,2021,-0.080461939
16,seagrass,2021,-0.078601522
17,seagrass,2021,-0.080331676
18,seagrass,2021,-0.062783906
25,seagrass,2012,0.316567458
25,seagrass,2013,0.064078968
25,seagrass,2014,-0.215990431
25,seagrass,2015,-0.2165
25,seagrass,2016,-0.091081253
25,seagrass,2017,0.149703532
25,seagrass,2018,0.217184146
25,seagrass,2019,0.008156151
25,seagrass,2020,0.235277973
25,seagrass,2021,0.020125554
25,seagrass,2022,0.071982166
26,seagrass,2021,-0.085222261
28,seagrass,2021,0.048139139
29,seagrass,2021,0.047870969
37,seagrass,2021,0.022394613
39,seagrass,2021,-0.009320891
40,seagrass,2021,-0.056626656
41,seagrass,2021,-0.013310985
42,seagrass,2021,0.03996638
43,seagrass,2021,-0.038262305
45,seagrass,2021,-0.076078188
47,seagrass,2021,-0.04051334
49,seagrass,2021,-0.072178951
50,seagrass,2021,-0.04136025
51,seagrass,2021,0
52,seagrass,2021,0
54,seagrass,2021,-0.001233323
58,seagrass,2021,-0.254361083
61,seagrass,2021,-0.22261704
66,seagrass,2021,0.238768455
67,seagrass,2021,-0.157445678
68,seagrass,2021,-0.279904048
73,seagrass,2021,-0.249850495
75,seagrass,2021,-0.38350001
76,seagrass,2021,-0.261780148
79,seagrass,2021,-0.000344441
80,seagrass,2021,-0.163358215
81,seagrass,2021,-0.035685709
82,seagrass,2021,-0.147572183
84,seagrass,2021,-0.214106095
96,seagrass,2021,0.422499999
98,seagrass,2021,0.422499999
99,seagrass,2021,0.422499999
102,seagrass,2021,-0.125650719
106,seagrass,2021,0.422499999
110,seagrass,2021,0.076981407
111,seagrass,2021,0.104940221
112,seagrass,2021,0.048364237
113,seagrass,2021,0.07551896
114,seagrass,2021,0.103382659
115,seagrass,2021,0.09665407
116,seagrass,2021,0.000819153
117,seagrass,2021,0.077774914
118,seagrass,2021,0.104549929
119,seagrass,2021,0.105400471
120,seagrass,2021,0.101407102
121,seagrass,2021,0.097763791
122,seagrass,2021,0.081581454
123,seagrass,2021,0.084265957
124,seagrass,2021,0.064681677
125,seagrass,2021,0.050131766
126,seagrass,2021,0.064394038
129,seagrass,2021,0.182779578
131,seagrass,2021,0.129771496
132,seagrass,2021,0.092541102
133,seagrass,2021,0.105395711
135,seagrass,2021,0.017272284
139,seagrass,2021,0.019684993
140,seagrass,2021,0.084318533
147,seagrass,2021,0
151,seagrass,2021,0
152,seagrass,2021,0
155,seagrass,2021,0
163,seagrass,2021,-0.143579944
164,seagrass,2021,0.068066107
166,seagrass,2021,0.086652698
171,seagrass,2021,0.19575894
175,seagrass,2021,-0.38350001
176,seagrass,2021,-0.38350001
177,seagrass,2021,-0.38350001
178,seagrass,2021,-0.38350001
179,seagrass,2021,-0.343104392
180,seagrass,2021,-0.38350001
181,seagrass,2021,-0.38350001
182,seagrass,2021,-0.306504306
183,seagrass,2021,-0.320497034
184,seagrass,2021,-0.267068522
185,seagrass,2021,-0.291726984
187,seagrass,2021,-0.280408175
188,seagrass,2021,-0.290250281
190,seagrass,2021,0
191,seagrass,2021,-0.003706403
192,seagrass,2021,0
193,seagrass,2021,0.422499999
194,seagrass,2021,0.422499999
196,seagrass,2021,0.422499999
200,seagrass,2021,0.422499999
202,seagrass,2021,-0.041830151
203,seagrass,2021,-0.059845441
205,seagrass,2021,-0.126667351
206,seagrass,2021,-0.095712286
207,seagrass,2021,-0.106917431
208,seagrass,2021,-0.100542427
209,seagrass,2021,-0.098504365
210,seagrass,2021,-0.137116656
212,seagrass,2021,-0.092949165
214,seagrass,2021,-0.06346429
215,seagrass,2021,-0.037710745
216,seagrass,2021,-0.074754269
218,seagrass,2021,-0.29977999
220,seagrass,2021,0.105625
221,seagrass,2021,0.105625
222,seagrass,2021,-0.38350001
223,seagrass,2021,-0.38350001
231,seagrass,2021,-0.071042426
245,seagrass,2021,-0.016555557
248,seagrass,2021,0.101961161
249,seagrass,2021,0.105437018
250,seagrass,2021,0.045146792
20,seagrass,2021,-0.232447871
21,seagrass,2021,-0.222969533
24,seagrass,2021,-0.127573336
31,seagrass,2021,-0.015678802
32,seagrass,2021,0.052815476
35,seagrass,2021,0.093063769
38,seagrass,2021,-0.010439394
44,seagrass,2021,-0.043090876
48,seagrass,2021,0.033047339
62,seagrass,2021,-0.17882329
64,seagrass,2021,0.037564682
70,seagrass,2021,-0.38350001
72,seagrass,2021,-0.38350001
77,seagrass,2021,-0.191750005
78,seagrass,2021,-0.109405141
103,seagrass,2021,0.422499999
108,seagrass,2021,0.007536567
127,seagrass,2021,0.083407314
130,seagrass,2021,0.25245436
136,seagrass,2021,0.327379744
143,seagrass,2021,-0.38350001
145,seagrass,2021,-0.38350001
162,seagrass,2021,0
168,seagrass,2021,0.053851581
174,seagrass,2021,-0.38350001
186,seagrass,2021,-0.198527524
189,seagrass,2021,-0.38350001
204,seagrass,2021,-0.091014153
224,seagrass,2021,-0.092578709
227,seagrass,2021,-0.38350001
228,seagrass,2021,-0.38350001
244,seagrass,2021,-0.039142183
